Feature Set,Model,Accuracy,Precision,Recall,F1 Score,Training Time (s)
Boruta,Random Forest,0.9959,0.9957,0.9970,0.9964,31.7801
Boruta,XGBoost,0.9973,0.9973,0.9979,0.9976,146.1401
Boruta,SVM,0.9900,0.9929,0.9896,0.9913,439.4468
RFE,Random Forest,0.9976,0.9968,0.9991,0.9979,33.9802
RFE,XGBoost,0.9987,0.9986,0.9992,0.9989,198.9324
RFE,SVM,0.9964,0.9971,0.9966,0.9969,160.5723
Correlation,Random Forest,0.9790,0.9799,0.9835,0.9817,18.0323
Correlation,XGBoost,0.9806,0.9815,0.9846,0.9831,90.9966
Correlation,SVM,0.9777,0.9788,0.9823,0.9806,1491.5150
ContrastFS,Random Forest,0.9790,0.9800,0.9834,0.9817,20.3078
ContrastFS,XGBoost,0.9805,0.9813,0.9847,0.9830,94.7347
ContrastFS,SVM,0.9777,0.9788,0.9823,0.9806,1511.3690
All Features,Random Forest,0.9992,0.9987,0.9998,0.9993,57.2041
All Features,XGBoost,0.9992,0.9991,0.9995,0.9993,499.0095
All Features,SVM,0.9978,0.9973,0.9989,0.9981,408.4597
